datasetsize;depth;method;ingestion;query-high;query-med;query-low;size
1000;1;singular;2.90;0.13;0.43;5.91;0.82
1000;1;quoted;4.75;0.10;0.11;4.32;0.82
1000;1;quoted-ref;7.34;0.11;0.22;4.19;0.14
1000;1;quoted-idx;6.76;0.23;0.05;1.28;0.12
1000;2;singular;2.41;0.10;0.35;6.44;1.10
1000;2;quoted;2.90;0.19;0.25;5.61;1.10
1000;2;quoted-ref;7.00;0.18;0.28;7.03;0.19
1000;2;quoted-idx;6.59;0.16;0.05;1.83;0.14
1000;3;singular;3.94;0.21;0.41;7.90;1.37
1000;3;quoted;2.38;0.11;0.11;5.94;1.37
1000;3;quoted-ref;16.29;0.25;0.93;133.15;0.23
1000;3;quoted-idx;16.47;0.22;0.09;7.39;0.16
1000;4;singular;6.74;0.18;0.53;19.02;1.65
1000;4;quoted;4.10;0.20;1.56;11.84;1.65
1000;4;quoted-ref;23.66;0.27;1.02;30.27;0.27
1000;4;quoted-idx;16.48;0.23;0.11;11.22;0.18
1000;5;singular;10.58;0.19;0.62;22.37;1.93
1000;5;quoted;6.90;0.25;0.28;15.44;1.93
1000;5;quoted-ref;33.62;0.27;1.51;40.03;0.31
1000;5;quoted-idx;28.56;0.26;0.14;10.93;0.19
5000;1;singular;26.59;0.34;52.82;40.05;4.12
5000;1;quoted;26.34;0.72;3.34;29.98;4.12
5000;1;quoted-ref;31.15;0.65;5.16;26.69;0.74
5000;1;quoted-idx;18.90;1.52;0.23;6.77;0.62
5000;2;singular;24.80;0.33;10.40;38.86;5.52
5000;2;quoted;16.01;0.44;2.23;25.84;5.52
5000;2;quoted-ref;42.89;0.48;8.14;39.12;0.95
5000;2;quoted-idx;45.42;0.73;0.25;15.23;0.72
5000;3;singular;27.19;0.35;7.11;49.35;6.91
5000;3;quoted;17.48;1.18;2.54;38.23;6.91
5000;3;quoted-ref;96.05;0.58;11.83;69.24;1.17
5000;3;quoted-idx;49.16;2.63;0.22;21.75;0.81
5000;4;singular;32.96;0.28;14.45;51.17;8.31
5000;4;quoted;19.15;0.40;2.24;42.00;8.31
5000;4;quoted-ref;87.13;0.57;21.81;89.50;1.39
5000;4;quoted-idx;78.75;0.64;0.36;51.18;0.91
5000;5;singular;38.99;0.27;9.09;61.23;9.70
5000;5;quoted;22.05;0.45;2.60;46.15;9.70
5000;5;quoted-ref;121.92;0.79;26.91;134.13;1.61
5000;5;quoted-idx;99.60;0.45;0.30;37.43;1.00
10000;1;singular;54.75;0.71;42.13;57.08;8.27
10000;1;quoted;27.22;4.50;9.69;46.36;8.25
10000;1;quoted-ref;50.32;0.81;20.72;46.62;1.48
10000;1;quoted-idx;51.92;0.71;0.41;15.39;1.25
10000;2;singular;75.20;1.90;75.65;67.43;11.06
10000;2;quoted;28.31;0.52;11.50;54.81;11.04
10000;2;quoted-ref;80.66;0.61;29.71;82.62;1.92
10000;2;quoted-idx;67.91;0.52;0.31;25.56;1.44
10000;3;singular;54.63;0.38;41.26;86.27;13.85
10000;3;quoted;35.26;1.32;15.55;68.94;13.83
10000;3;quoted-ref;134.60;2.41;59.35;149.61;2.36
10000;3;quoted-idx;97.05;0.73;5.26;51.13;1.63
10000;4;singular;67.98;0.47;33.20;94.74;16.65
10000;4;quoted;42.45;0.71;31.00;69.18;16.63
10000;4;quoted-ref;158.13;1.01;80.23;188.96;2.80
10000;4;quoted-idx;148.99;0.76;4.17;48.42;1.82
10000;5;singular;77.00;0.56;51.19;96.92;19.44
10000;5;quoted;46.42;0.73;15.75;84.52;19.42
10000;5;quoted-ref;267.66;2.25;139.11;403.34;3.23
10000;5;quoted-idx;240.05;1.83;0.63;59.05;2.01
50000;1;singular;275.55;1.60;807.71;293.87;41.60
50000;1;quoted;190.72;2.97;444.91;295.69;41.58
50000;1;quoted-ref;277.02;2.82;403.81;241.81;7.70
50000;1;quoted-idx;235.30;2.55;5.06;40.52;6.43
50000;2;singular;303.51;2.21;910.19;387.18;55.65
50000;2;quoted;196.46;6.11;636.37;777.02;55.63
50000;2;quoted-ref;473.26;3.69;888.34;432.80;9.97
50000;2;quoted-idx;454.10;3.92;1.61;123.63;7.43
50000;3;singular;329.44;5.37;859.48;419.10;69.69
50000;3;quoted;191.38;2.57;412.55;311.77;69.67
50000;3;quoted-ref;588.16;3.99;1693.42;703.23;12.29
50000;3;quoted-idx;705.95;2.88;2.14;174.08;8.42
50000;4;singular;325.14;1.70;824.31;498.29;83.74
50000;4;quoted;219.59;8.29;393.40;377.61;83.72
50000;4;quoted-ref;827.15;5.72;2407.69;965.67;14.60
50000;4;quoted-idx;1010.07;3.31;2.08;234.84;9.41
50000;5;singular;343.23;1.84;759.54;460.37;97.78
50000;5;quoted;258.19;7.29;425.22;442.91;97.76
50000;5;quoted-ref;1088.31;8.08;3109.52;1339.49;16.92
50000;5;quoted-idx;1055.90;4.50;2.39;341.77;10.40
100000;1;singular;612.24;3.15;4225.64;761.82;83.46
100000;1;quoted;358.09;4.39;1627.04;451.91;83.25
100000;1;quoted-ref;586.61;9.69;1868.81;546.54;15.47
100000;1;quoted-idx;586.06;10.24;2.33;241.49;12.92
100000;2;singular;581.92;6.76;3843.07;749.34;111.57
100000;2;quoted;413.33;5.23;1804.29;537.89;111.36
100000;2;quoted-ref;952.87;6.09;3581.76;837.15;20.13
100000;2;quoted-idx;854.96;5.91;8.37;262.43;14.91
100000;3;singular;926.17;19.42;4556.59;665.52;139.68
100000;3;quoted;408.46;9.04;1568.61;523.48;139.47
100000;3;quoted-ref;1798.77;11.68;6460.67;1213.97;24.78
100000;3;quoted-idx;1486.68;16.08;9.24;661.16;16.90
100000;4;singular;869.02;5.66;4075.11;929.51;167.80
100000;4;quoted;470.25;7.16;1750.16;553.27;167.58
100000;4;quoted-ref;1686.47;13.27;9466.88;1713.10;29.43
100000;4;quoted-idx;1781.50;6.77;8.95;522.64;18.90
100000;5;singular;731.56;3.69;3540.16;829.47;195.91
100000;5;quoted;520.14;6.73;1686.51;701.18;195.70
100000;5;quoted-ref;2296.65;13.42;12451.06;2310.39;34.09
100000;5;quoted-idx;2370.35;13.78;9.55;710.24;20.89
